category_name,subcategory_name,category_slug,subcategory_slug
Electronics,Audio devices,electronics,audio-devices
Electronics,Beauty & Grooming,electronics,beauty-grooming
Electronics,Cameras & Accessories,electronics,cameras-accessories
Electronics,Electrical Accessories,electronics,electrical-accessories
Electronics,Home & Kitchen Appliance,electronics,home-kitchen-appliance
Electronics,Home Appliances,electronics,home-appliances
Electronics,Kitchen Appliances,electronics,kitchen-appliances
Electronics,Phone & Laptop Accessory,electronics,phone-laptop-accessory
Electronics,"Phone, Laptop & Tablets",electronics,phone-laptop-tablets
Electronics,Smart Wearables,electronics,smart-wearables
Fashion,Fashion Essentials,fashion,fashion-essentials
Fashion,Footwear,fashion,footwear
Fashion,Kids Apparel,fashion,kids-apparel
Fashion,Men's Apparel,fashion,mens-apparel
Fashion,Travel,fashion,travel
Fashion,Women's Apparel,fashion,womens-apparel
Apparel,Men's Apparel,apparel,mens-apparel
Apparel,Women's Apparel,apparel,womens-apparel
Food Court,Burgers & Sandwiches,food-court,burgers-sandwiches
Food Court,Cake & Pastry Delights,food-court,cake-pastry-delights
Food Court,Cold Beverages,food-court,cold-beverages
Food Court,Hot Beverages,food-court,hot-beverages
Food Court,Rolls & Wraps,food-court,rolls-wraps
Food Court,Snack Time,food-court,snack-time
Fruits & Vegetables,Cuts & Sprouts,fruits-vegetables,cuts-sprouts
Fruits & Vegetables,Exotic Fruits & Veggies,fruits-vegetables,exotic-fruits-veggies
Fruits & Vegetables,"Flower Bouquets, Bunches",fruits-vegetables,flower-bouquets-bunches
Fruits & Vegetables,Fresh Fruits,fruits-vegetables,fresh-fruits
Fruits & Vegetables,Fresh Vegetables,fruits-vegetables,fresh-vegetables
Fruits & Vegetables,Herbs & Seasonings,fruits-vegetables,herbs-seasonings
Fruits & Vegetables,Organic Fruits & Vegetables,fruits-vegetables,organic-fruits-vegetables
"Foodgrains, Oil & Masala","Atta, Flours & Sooji",foodgrains-oil-masala,atta-flours-sooji
"Foodgrains, Oil & Masala",Dals & Pulses,foodgrains-oil-masala,dals-pulses
"Foodgrains, Oil & Masala",Dry Fruits,foodgrains-oil-masala,dry-fruits
"Foodgrains, Oil & Masala",Edible Oils & Ghee,foodgrains-oil-masala,edible-oils-ghee
"Foodgrains, Oil & Masala",Masalas & Spices,foodgrains-oil-masala,masalas-spices
"Foodgrains, Oil & Masala",Organic Staples,foodgrains-oil-masala,organic-staples
"Foodgrains, Oil & Masala",Rice & Rice Products,foodgrains-oil-masala,rice-rice-products
"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery",foodgrains-oil-masala,salt-sugar-jaggery
"Bakery, Cakes & Dairy",Bakery Snacks,bakery-cakes-dairy,bakery-snacks
"Bakery, Cakes & Dairy",Breads & Buns,bakery-cakes-dairy,breads-buns
